,degree,coeff name,coeff value,std error,CI lower,CI upper
0,4.0,$\beta$0,0.0,,,
1,4.0,$\beta$1,-0.0025,7e-05,-0.00267,-0.00239
2,4.0,$\beta$2,0.0003,7e-05,0.00015,0.00044
3,4.0,$\beta$3,-0.2846,0.00578,-0.2959,-0.27324
4,4.0,$\beta$4,0.289,0.00783,0.27366,0.30435
5,4.0,$\beta$5,-0.1353,0.00577,-0.14664,-0.12403
6,4.0,$\beta$6,0.0024,7e-05,0.00228,0.00256
7,4.0,$\beta$7,-0.0008,6e-05,-0.00089,-0.00064
8,4.0,$\beta$8,-0.0014,6e-05,-0.00149,-0.00124
9,4.0,$\beta$9,0.0014,7e-05,0.0013,0.00158
10,4.0,$\beta$10,-0.0,0.0,-0.0,-0.0
11,4.0,$\beta$11,-0.0,0.0,-1e-05,-1e-05
12,4.0,$\beta$12,0.0,0.0,1e-05,2e-05
13,4.0,$\beta$13,-0.0,0.0,-0.0,-0.0
14,4.0,$\beta$14,-0.0,0.0,-0.0,-0.0
